nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001760	Tori Spelling	1973	\N	actress,producer,music_department	tt0257106,tt0119324,tt0098749,tt0162710
nm0001761	Jerry Springer	1944	\N	actor,producer,soundtrack	tt0402127,tt0421054,tt0165494,tt0145660
nm0001762	Jill St. John	1940	\N	actress,soundtrack	tt0057683,tt0059390,tt0066995,tt0105151
nm0001763	Nick Stahl	1979	\N	actor,producer,cinematographer	tt0401792,tt0242193,tt0247425,tt0181852
nm0001764	John Stamos	1963	\N	actor,producer,soundtrack	tt0056758,tt0092359,tt3986586,tt4465368
nm0001765	Harry Dean Stanton	1926	2017	actor,soundtrack	tt0087995,tt0078748,tt5859238,tt0120689
nm0001766	Barbara Stanwyck	1907	1990	actress,soundtrack	tt0033804,tt0023775,tt0036775,tt0058791
nm0001767	Imelda Staunton	1956	\N	actress,soundtrack	tt3169706,tt0373889,tt0138097,tt0383694
nm0001768	Rod Steiger	1925	2002	actor,soundtrack	tt0146675,tt0059575,tt0061811,tt0047296
nm0001769	Howard Stern	1954	\N	actor,producer,writer	tt2248835,tt0474499,tt0119951,tt0103466
nm0001770	Fisher Stevens	1963	\N	actor,producer,director	tt0211933,tt0108255,tt0113243,tt0091949
nm0001771	Stella Stevens	1938	\N	actress,soundtrack,director	tt0057372,tt0069113,tt0060980,tt0053245
nm0001772	Patrick Stewart	1940	\N	actor,producer,director	tt3315342,tt0117731,tt0120903,tt0120844
nm0001773	David Ogden Stiers	1942	2018	actor,soundtrack,director	tt0068098,tt0275847,tt0101414,tt0114148
nm0001774	Ben Stiller	1965	\N	producer,actor,writer	tt0359950,tt0196229,tt0942385,tt1608290
nm0001775	Whit Stillman	1952	\N	director,writer,producer	tt0109219,tt1667307,tt3068194,tt0100142
nm0001776	Sting	1951	\N	soundtrack,actor,composer	tt0203009,tt0159365,tt0120917,tt0087182
nm0001777	Dean Stockwell	1936	\N	actor,soundtrack,director	tt0095593,tt0087182,tt0052700,tt0096684
nm0001778	Matt Stone	1971	\N	music_department,writer,producer	tt0131857,tt0158983,tt0121955,tt0372588
nm0001779	Tom Stoppard	1937	\N	writer,actor,producer	tt1781769,tt0088846,tt0138097,tt0100519
nm0001780	Peter Stormare	1953	\N	actor,producer,soundtrack	tt0116282,tt0120591,tt0168629,tt0355295
nm0001781	Julie Strain	1962	\N	actress,producer,director	tt0119273,tt0109254,tt0116039,tt0110622
nm0001782	Susan Strasberg	1938	1999	actress	tt0055505,tt0076636,tt0048491,tt0052961
nm0001783	Sally Struthers	1947	\N	actress,soundtrack	tt0238784,tt0065724,tt0066626,tt0068638
nm0001784	Gloria Stuart	1910	2010	actress,soundtrack	tt0024184,tt0032028,tt0023293,tt0120338
nm0001785	Kristy Swanson	1969	\N	actress,producer,soundtrack	tt0091042,tt0093036,tt0242423,tt0103893
nm0001786	George Takei	1937	\N	actor,producer,soundtrack	tt0060028,tt0084726,tt0088170,tt0102975
nm0001787	Jeffrey Tambor	1944	\N	actor,soundtrack	tt3502262,tt0367279,tt0167190,tt0170016
nm0001788	Jessica Tandy	1909	1994	actress,soundtrack	tt0092494,tt0097239,tt0088933,tt0101921
nm0001789	Andrei Tarkovsky	1932	1986	writer,director,miscellaneous	tt0079944,tt0091670,tt0060107,tt0069293
nm0001790	Sharon Tate	1943	1969	actress,soundtrack	tt0065361,tt0062430,tt0065225,tt0061655
nm0001791	Robert Taylor	1911	1969	actor,soundtrack	tt0033774,tt0045966,tt0043949,tt0033238
nm0001792	Rod Taylor	1930	2015	actor,music_department,soundtrack	tt0055254,tt0056869,tt0054387,tt0361748
nm0001793	Heather Thomas	1957	\N	actress	tt0081859,tt0092812,tt1555440,tt0084945
nm0001794	Henry Thomas	1971	\N	actor,producer,composer	tt0083866,tt0110322,tt0331811,tt0087065
nm0001795	Jonathan Taylor Thomas	1981	\N	actor,director,soundtrack	tt0101120,tt0115472,tt0112302,tt0110357
nm0001796	Richard Thomas	1951	\N	actor,director,producer	tt0185014,tt0068149,tt0080421,tt0099864
nm0001797	Rachel Ticotin	1958	\N	actress,miscellaneous	tt0100802,tt0106856,tt0118880,tt0406759
nm0001798	Kevin Tighe	1944	\N	actor,director,stunts	tt1179891,tt0068067,tt0099044,tt0097637
nm0001799	John Toll	1952	\N	cinematographer,camera_department,producer	tt0112573,tt0325710,tt1371111,tt0120863
nm0001800	Rip Torn	1931	\N	actor,director,producer	tt0364725,tt0103466,tt0119654,tt0240515
nm0001801	Robert Towne	1934	\N	writer,producer,actor	tt0071315,tt0117060,tt0073692,tt0096244
nm0001802	Nancy Travis	1961	\N	actress,producer,soundtrack	tt0108174,tt0098966,tt0109936,tt0403508
nm0001803	Danny Trejo	1944	\N	actor,producer,soundtrack	tt0113277,tt0985694,tt1424381,tt2002718
nm0001804	Stanley Tucci	1960	\N	actor,producer,director	tt1951264,tt1895587,tt0458339,tt0115678
nm0001805	Lana Turner	1921	1995	actress,soundtrack,producer	tt0038854,tt0050839,tt0044391,tt0040876
nm0001806	John Turturro	1957	\N	actor,writer,director	tt0101410,tt0343737,tt0190590,tt2258345
nm0001807	Cicely Tyson	1924	\N	actress,producer,soundtrack	tt3317326,tt0422093,tt0101921,tt1454029
nm0001808	Tracey Ullman	1959	\N	actress,writer,producer	tt0109348,tt0092469,tt0196216,tt2180411
nm0001809	Jay Underwood	1968	\N	actor	tt0098554,tt0090768,tt0185155,tt0093649
nm0001810	Robert Urich	1946	2002	actor,producer,soundtrack	tt0090217,tt0096639,tt0087451,tt0077093
nm0001811	Peter Ustinov	1921	2004	actor,writer,director	tt0058672,tt0077413,tt0054331,tt0055796
nm0001812	Lee Van Cleef	1925	1989	actor,soundtrack	tt0056217,tt0060196,tt0082340,tt0059578
nm0001813	Dick Van Dyke	1925	\N	actor,producer,soundtrack	tt0058331,tt0477347,tt0062803,tt0054533
nm0001814	Gus Van Sant	1952	\N	producer,director,writer	tt0363589,tt0102494,tt0842929,tt0097240
nm0001815	Jim Varney	1949	2000	actor,writer,soundtrack	tt0114709,tt0230011,tt0120363,tt0092974
nm0001816	Robert Vaughn	1932	2016	actor,director	tt0072308,tt0054047,tt0057765,tt0062765
nm0001817	Reginald VelJohnson	1952	\N	actor,writer,soundtrack	tt0095016,tt0087332,tt0096579,tt0099423
nm0001818	Jesse Ventura	1951	\N	actor,producer	tt0093773,tt0093894,tt0106697,tt0118688
nm0001819	Petra Verkaik	1966	\N	actress,producer,miscellaneous	tt0106323,tt0102733,tt0212879,tt0127643
nm0001820	Abe Vigoda	1921	2016	actor	tt0072472,tt0106364,tt0071562,tt0068646
nm0001821	Jan-Michael Vincent	1944	\N	actor,producer	tt0068931,tt0072705,tt0086662,tt0118789
nm0001822	Robert Wagner	1930	\N	actor,producer,soundtrack	tt0295178,tt0145660,tt0118655,tt0072308
nm0001823	Tom Waits	1949	\N	soundtrack,actor,composer	tt0090967,tt0477139,tt0108122,tt1931533
nm0001824	Ally Walker	1961	\N	actress,writer,producer	tt0114924,tt0115322,tt0116756,tt0105698
nm0001825	Andrew Kevin Walker	1964	\N	writer,actor,miscellaneous	tt0134273,tt0162661,tt0258000,tt0114369
nm0001826	M. Emmet Walsh	1935	\N	actor,soundtrack,stunts	tt0090887,tt0086979,tt0079367,tt0083658
nm0001827	Ray Walston	1914	2001	actor,soundtrack	tt0070735,tt0081353,tt0083929,tt0103512
nm0001828	Melora Walters	1960	\N	actress,director,writer	tt0097165,tt0289879,tt0175880,tt0118749
nm0001829	Rachel Ward	1957	\N	actress,director,writer	tt0086859,tt0085101,tt1209377,tt0083064
nm0001830	Sophie Ward	1964	\N	actress	tt1229822,tt1169809,tt0104181,tt0090357
nm0001831	David Warner	1941	\N	actor,soundtrack	tt0120338,tt0080025,tt0084827,tt0102975
nm0001832	Sam Waterston	1940	\N	actor,producer,director	tt0101124,tt0098844,tt0087553,tt0071577
nm0001833	Emily Watson	1967	\N	actress,soundtrack	tt0289765,tt0280707,tt0115751,tt0272338
